sample_id,sample_type,longitude,latitude,elevation_m,slope_deg,lulc_class,lulc_class_name
BG_016,background,93.488066,26.970808,159.18,13.66,10,Tree cover
BG_017,background,93.703249,27.254282,1105.09,25.77,10,Tree cover
BG_018,background,93.31877,27.603443,3153.12,28.91,10,Tree cover
BG_019,background,93.619632,27.149049,1095.24,39.09,10,Tree cover
BG_020,background,93.671702,27.198645,546.48,36.54,10,Tree cover
BG_021,background,93.432206,27.223964,1195.1,24.49,10,Tree cover
BG_022,background,93.442406,27.655103,2076.32,16.92,10,Tree cover
BG_023,background,93.261918,27.21626,1639.9,36.91,10,Tree cover
BG_024,background,93.73208,27.214322,998.01,15.34,10,Tree cover
BG_025,background,93.664136,27.148575,715.67,23.39,10,Tree cover
BG_026,background,94.134592,27.50439,488.55,28.4,10,Tree cover
BG_027,background,93.464536,27.493616,2052.97,23.2,10,Tree cover
BG_028,background,93.447076,27.305711,1914.86,30.65,10,Tree cover
BG_029,background,93.514579,27.544085,1813.4,32.89,10,Tree cover
BG_030,background,93.484571,27.072118,484.45,26.6,10,Tree cover
BG_031,background,93.444561,27.130483,1162.36,38.78,10,Tree cover
BG_032,background,93.576407,27.044416,326.79,29.65,10,Tree cover
BG_033,background,93.467589,27.208412,1534.77,27.16,10,Tree cover
BG_034,background,93.636181,27.023574,280.69,14.01,10,Tree cover
BG_035,background,93.986424,27.338424,203.13,6.41,10,Tree cover
BG_036,background,93.546222,27.368194,1321.83,16.76,10,Tree cover
BG_037,background,93.570885,27.208029,1019.17,42.61,10,Tree cover
BG_038,background,93.698094,27.156535,234.22,23.61,10,Tree cover
BG_039,background,93.772717,27.176728,161.15,3.62,10,Tree cover
BG_040,background,93.346939,27.473646,3020.54,12.87,10,Tree cover
BG_041,background,93.476284,27.400409,2489.19,5.98,10,Tree cover
BG_042,background,93.721047,27.194608,661.93,39.14,10,Tree cover
BG_043,background,93.263846,27.263113,2317.71,22.68,10,Tree cover
BG_044,background,93.409259,27.492706,2407.02,39.84,10,Tree cover
BG_045,background,93.774822,27.218425,630.63,35.36,10,Tree cover
BG_046,background,93.539655,27.139088,1057.24,23.62,10,Tree cover
BG_047,background,93.250459,27.240116,1854.39,23.66,10,Tree cover
BG_048,background,93.335338,27.652966,2872.05,31.33,10,Tree cover
BG_049,background,93.393916,27.104633,1099.28,41.34,10,Tree cover
BG_050,background,93.825936,27.248196,373.97,22.47,10,Tree cover
BG_051,background,93.728293,27.09761,231.14,19.47,10,Tree cover
BG_052,background,94.011893,27.404593,939.03,40.92,10,Tree cover
BG_053,background,93.63752,27.206658,669.37,31.95,10,Tree cover
BG_054,background,93.607127,27.01964,379.61,14.64,10,Tree cover
BG_055,background,93.453323,27.573548,2372.23,17.65,10,Tree cover
BG_056,background,93.309399,27.622422,3100.65,26.13,10,Tree cover
BG_057,background,93.326798,27.12891,1149.23,27.82,10,Tree cover
BG_058,background,93.828553,27.069158,119.57,10.85,10,Tree cover
BG_059,background,93.623508,27.083488,332.46,27.97,10,Tree cover
BG_060,background,93.85507,27.451412,1875.49,18.31,10,Tree cover
BG_061,background,93.687207,27.257341,1136.91,35.88,10,Tree cover
BG_062,background,93.422287,27.564167,1740.06,43.8,10,Tree cover
BG_063,background,93.443291,27.11559,937.24,36.48,10,Tree cover
BG_064,background,93.550233,27.38172,1316.97,17.08,10,Tree cover
BG_065,background,93.392086,27.446171,2902.51,17.99,10,Tree cover
BG_066,background,93.449123,27.135885,817.61,19.7,10,Tree cover
BG_067,background,93.451518,27.503679,1690.68,27.29,10,Tree cover
BG_068,background,93.347058,27.511562,3041.74,30.89,10,Tree cover
BG_069,background,93.445593,27.314112,1843.15,23.56,10,Tree cover
BG_070,background,93.334442,27.154352,2026.22,40.33,10,Tree cover
BG_071,background,93.360746,27.610111,2783.41,31.12,10,Tree cover
BG_072,background,93.381033,27.053748,442.33,29.06,10,Tree cover
BG_073,background,93.442249,27.616104,2677.87,28.07,10,Tree cover
BG_074,background,93.503235,27.521918,1267.44,20.75,10,Tree cover
BG_075,background,93.440238,27.34013,2029.16,10.8,10,Tree cover
BG_076,background,93.476818,26.955678,206.44,19.94,10,Tree cover
BG_077,background,93.36676,27.498783,2819.37,29.19,10,Tree cover
BG_078,background,93.373997,27.662617,2066.27,24.04,10,Tree cover
BG_079,background,93.728937,27.103565,239.15,17.94,10,Tree cover
BG_080,background,93.521226,27.212556,1068.73,45.09,10,Tree cover
BG_081,background,93.388023,27.325659,2298.8,29.03,10,Tree cover
BG_082,background,93.543743,27.17049,1845.31,42.51,10,Tree cover
BG_083,background,93.430392,27.066877,902.27,48.23,10,Tree cover
BG_084,background,93.774302,27.230886,788.61,5.3,10,Tree cover
BG_085,background,93.457485,26.958451,186.8,11.7,10,Tree cover
BG_086,background,93.433936,26.965568,341.17,37.84,10,Tree cover
BG_087,background,93.497824,27.127054,873.51,19.96,10,Tree cover
BG_088,background,93.770332,27.049718,117.05,0.43,40,Cropland
BG_089,background,93.563793,27.36352,1512.96,15.49,10,Tree cover
BG_090,background,94.171921,27.501914,420.88,31.51,10,Tree cover
BG_091,background,93.377323,27.029923,287.89,14.19,10,Tree cover
BG_092,background,93.789362,27.132218,112.48,1.04,60,Bare / sparse vegetation
BG_093,background,93.903343,27.451919,2346.54,37.35,10,Tree cover
BG_094,background,93.595166,27.557034,1478.32,11.49,10,Tree cover
BG_095,background,93.393824,27.336748,2381.42,18.22,10,Tree cover
BG_096,background,94.071936,27.400623,275.9,6.7,10,Tree cover
BG_097,background,93.286904,27.154187,1342.75,26.58,10,Tree cover
BG_098,background,93.421092,27.329626,2075.81,28.1,10,Tree cover
BG_099,background,93.537731,27.116615,1079.6,20.54,10,Tree cover
BG_100,background,93.350262,27.468221,3001.51,15.24,10,Tree cover
BG_101,background,93.664711,27.194615,592.7,24.6,10,Tree cover
BG_102,background,93.453899,27.194102,1538.43,33.11,10,Tree cover
BG_103,background,93.539724,26.963848,131.9,3.49,10,Tree cover
BG_104,background,93.316782,27.333693,2265.33,16.54,10,Tree cover
BG_105,background,93.833893,27.258711,617.37,22.39,10,Tree cover
BG_106,background,93.414321,27.546858,1979.69,35.65,10,Tree cover
BG_107,background,94.059225,27.372285,210.48,15.17,10,Tree cover
BG_108,background,93.741666,27.335063,1246.41,22.28,10,Tree cover
BG_109,background,93.709261,27.102853,207.96,19.32,10,Tree cover
BG_110,background,93.619557,27.190218,693.51,26.69,10,Tree cover
BG_111,background,93.499964,27.537368,1566.36,22.07,10,Tree cover
BG_112,background,93.627677,27.17989,881.65,38.37,10,Tree cover
BG_113,background,93.954244,27.369792,442.7,33.96,10,Tree cover
BG_114,background,93.593291,27.490689,1406.65,24.99,10,Tree cover
BG_115,background,93.948413,27.397456,935.62,30.95,10,Tree cover
BG_116,background,93.717961,27.185686,639.75,29.52,10,Tree cover
BG_117,background,93.699979,27.118879,139.19,3.57,10,Tree cover
BG_118,background,93.976877,27.494212,2607.77,40.7,10,Tree cover
BG_119,background,93.391416,26.994674,408.17,18.04,10,Tree cover
BG_120,background,93.594262,27.103386,405.0,16.9,10,Tree cover
BG_121,background,93.362647,27.448418,3239.88,12.91,10,Tree cover
BG_122,background,93.802742,27.098288,240.67,17.57,10,Tree cover
BG_123,background,93.580786,27.364533,1892.32,22.6,10,Tree cover
BG_124,background,94.120633,27.475526,550.51,17.15,10,Tree cover
BG_125,background,94.131518,27.441316,186.13,7.25,10,Tree cover
BG_126,background,93.490775,27.589129,2145.74,31.43,10,Tree cover
BG_127,background,93.611919,27.233586,1084.26,21.51,10,Tree cover
BG_128,background,93.96437,27.348057,233.5,9.26,10,Tree cover
BG_129,background,93.567057,27.169856,1540.17,37.76,10,Tree cover
BG_130,background,94.028859,27.499795,1624.75,26.02,10,Tree cover
BG_131,background,93.782892,27.159338,187.72,22.26,10,Tree cover
BG_132,background,93.403323,27.613785,2544.98,32.27,10,Tree cover
BG_133,background,93.891405,27.401894,823.29,32.69,10,Tree cover
BG_134,background,93.623924,26.994648,247.26,12.98,10,Tree cover
BG_135,background,93.422127,27.442563,2834.24,55.13,10,Tree cover
BG_136,background,93.353962,27.580608,2774.06,41.37,10,Tree cover
BG_137,background,93.528488,27.402658,1407.11,30.34,10,Tree cover
BG_138,background,93.536442,27.541294,1972.78,20.92,10,Tree cover
BG_139,background,93.477421,27.453218,2027.36,30.34,10,Tree cover
BG_140,background,93.759147,27.095551,246.77,19.54,10,Tree cover
BG_141,background,93.847867,27.303043,846.73,39.67,10,Tree cover
BG_142,background,93.561319,26.990849,246.57,26.77,10,Tree cover
BG_143,background,93.305637,27.581264,3155.39,13.65,10,Tree cover
BG_144,background,93.61796,27.009842,366.71,12.19,10,Tree cover
BG_145,background,93.314198,27.277635,1894.58,20.29,10,Tree cover
BG_146,background,93.468733,27.480601,1659.71,29.4,10,Tree cover
BG_147,background,93.780641,27.096787,223.24,11.29,10,Tree cover
BG_148,background,93.815703,27.174589,351.28,11.63,10,Tree cover
BG_149,background,93.691571,27.080461,229.89,6.94,10,Tree cover
BG_150,background,93.400279,27.612711,2439.06,27.68,10,Tree cover
BG_151,background,93.929328,27.401105,515.71,27.13,10,Tree cover
BG_152,background,94.040837,27.417108,570.91,28.81,10,Tree cover
BG_153,background,93.366943,27.553761,3091.46,32.64,10,Tree cover
BG_154,background,93.553313,26.961087,122.54,9.35,10,Tree cover
BG_155,background,93.670695,26.978995,100.98,0.95,40,Cropland
BG_156,background,93.398572,27.137392,1273.66,35.85,10,Tree cover
BG_157,background,93.874877,27.26794,302.75,31.92,10,Tree cover
BG_158,background,93.286001,27.274987,1983.63,24.12,10,Tree cover
BG_159,background,93.648303,27.342298,2192.8,16.76,10,Tree cover
BG_160,background,93.407955,27.550939,2022.51,25.59,10,Tree cover
