SLIDE_NO,LONGITUDE,LATITUDE,EVENT_DATE,RAINFALL_EVENT_DAY_MM,RAINFALL_3DAY_CUMULATIVE_MM,RAINFALL_7DAY_CUMULATIVE_MM,MATCH_STATUS,NOTES
AP/PAP/83E12/2021/60,93.731417,27.241,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/61,93.715694,27.236139,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/62,93.707861,27.234139,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E11/2021/78,93.507778,27.253778,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E11/2021/77,93.504278,27.251806,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E11/2021/76,93.507833,27.2495,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/75,93.524389,27.235306,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/74,93.536139,27.234917,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/67,93.635667,27.214778,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/69,93.615667,27.207583,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
ARN/PAP/83E12/2017/01,93.615842,27.207659,2017-07-11,0.0,129.97,233.94,MATCHED_DAILY,Exact date documented by GSI. Triggered by 4 consecutive days of heavy antecedent rain (July 7-10) before failure at 14:30 on July 11.
AP/PAP/83E12/2021/68,93.628556,27.210556,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/71,93.580417,27.223667,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/70,93.581167,27.22075,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/72,93.570278,27.225361,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/73,93.568972,27.228056,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
ARN/PAP/83E11/2017/03,93.64975,27.10736,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2017 only; specific day/month unrecorded.
AP/PAP/83E12/2021/5,93.641778,27.103069,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/4,93.640417,27.102944,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/3,93.638722,27.103444,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/2,93.637611,27.103944,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PAP/83E12/2021/1,93.634019,27.103111,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2021 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-3,93.619222,27.101111,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-2,93.615694,27.095278,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-4,93.615667,27.091139,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
AP/PP/83E12/2008/A-1,93.605639,27.078472,,,,,UNMATCHED_NO_EVENT_DATE,GSI inventory records macro-scale survey/initiation year 2008 only; specific day/month unrecorded.
